0,14,Start Pad
28,14,Gate 1
42,14,Flag 1
56,14,Flag 2
70,14,Flag 3
84,14,Gate 2
77,28,Hurdle 3
63,35,Gate 4
49,28,Flag 4
49,42,Gate 5
49,49,Gate 6
70,42,Gate 7
49,63,Gate 8
28,42,Gate 9
35,49,Flag 5
28,56,Flag 6
7,42,Gate 10
7,28,Flag 7
