42,0,Start Gate
28,0,Orbit Ladder
14,0,Flag 1
3,0,Double Gate 1
7,24,Double Gate 2
3,41,Triple Gate 3
0,55,Flag 2
14,55,Gate 4
35,55,Gate 5
56,55,Gate 6
73,55,Flag 3
77,38,Gate 7
63,41.5,Hurdle 1
49,38,Gate 8
35,41.5,Hurdle 2
21,38,Gate 9
14,31,Flag 4
14,17,Flag 5
21,10,Gate 10
28,10,Gravity Gate 1
70,17,Gravity Gate 2
49,17,Gate 11
49,24,Gate 12
49,31,Gate 13
77,31,Gate 14
84,24,Gate 15
70,1.5,SUPER HURDLE
